,time,PM2.5,humidity,temperature
0,2021-01-01 00:00:00,52.7,68.7,13.6
1,2021-01-01 01:00:00,50.3,67.5,13.3
2,2021-01-01 02:00:00,56.6,66.0,13.1
3,2021-01-01 03:00:00,61.81,65.7,13.0
4,2021-01-01 04:00:00,75.08,62.6,12.3
5,2021-01-01 05:00:00,67.5,61.1,11.8
6,2021-01-01 06:00:00,49.1,61.5,11.2
7,2021-01-01 07:00:00,52.6,60.7,11.1
8,2021-01-01 08:00:00,55.6,59.4,11.4
9,2021-01-01 09:00:00,43.4,48.7,12.6
10,2021-01-01 10:00:00,35.5,39.2,14.1
11,2021-01-01 11:00:00,37.0,36.7,15.5
12,2021-01-01 12:00:00,35.2,32.1,16.8
13,2021-01-01 13:00:00,34.4,29.7,17.8
14,2021-01-01 14:00:00,32.9,28.4,18.9
15,2021-01-01 15:00:00,32.7,27.0,20.0
16,2021-01-01 16:00:00,34.5,29.8,19.2
17,2021-01-01 17:00:00,36.6,32.7,18.3
18,2021-01-01 18:00:00,42.1,40.1,16.7
19,2021-01-01 19:00:00,49.0,44.9,15.7
20,2021-01-01 20:00:00,51.7,45.8,15.1
21,2021-01-01 21:00:00,61.8,48.4,14.6
22,2021-01-01 22:00:00,74.1,51.4,14.6
23,2021-01-01 23:00:00,74.7,54.4,14.2
24,2021-01-02 00:00:00,78.1,57.7,13.9
25,2021-01-02 01:00:00,84.48,58.8,13.4
26,2021-01-02 02:00:00,83.77,63.1,13.0
27,2021-01-02 03:00:00,65.33,66.8,12.8
28,2021-01-02 04:00:00,65.53,68.7,12.4
29,2021-01-02 05:00:00,111.68,71.0,12.0
30,2021-01-02 06:00:00,82.4,70.2,11.6
31,2021-01-02 07:00:00,61.47,67.8,11.2
32,2021-01-02 08:00:00,64.04,69.5,11.7
33,2021-01-02 09:00:00,69.32,71.1,12.8
34,2021-01-02 10:00:00,71.89,66.8,14.4
35,2021-01-02 11:00:00,73.73,57.1,16.2
36,2021-01-02 12:00:00,56.5,48.4,17.5
37,2021-01-02 13:00:00,53.0,43.2,18.7
