time,PM2.5,humidity,temperature
2021-07-12 22:00:00,11.8,83.3,30.2
2021-07-12 23:00:00,11.0,86.1,29.8
2021-07-13 00:00:00,68.01,89.2,29.4
2021-07-13 01:00:00,52.58,91.2,29.1
2021-07-13 02:00:00,17.8,92.7,28.8
2021-07-13 03:00:00,15.7,94.0,28.6
2021-07-13 04:00:00,19.8,95.6,28.5
2021-07-13 05:00:00,70.78,96.4,28.2
2021-07-13 06:00:00,18.3,96.6,28.3
2021-07-13 07:00:00,19.3,93.2,29.2
2021-07-13 08:00:00,13.1,84.3,31.0
2021-07-13 09:00:00,11.0,78.2,32.0
2021-07-13 10:00:00,13.8,75.4,32.7
2021-07-13 11:00:00,31.08,73.2,33.1
2021-07-13 12:00:00,31.58,69.6,34.1
2021-07-13 13:00:00,17.3,68.6,34.4
2021-07-13 14:00:00,16.0,66.1,35.1
2021-07-13 15:00:00,15.6,65.2,35.3
2021-07-13 16:00:00,13.0,65.6,35.2
2021-07-13 17:00:00,12.4,67.8,34.5
2021-07-13 18:00:00,11.3,69.2,34.1
2021-07-13 19:00:00,15.1,74.6,32.8
2021-07-13 20:00:00,15.5,76.9,31.9
2021-07-13 21:00:00,10.9,78.5,31.2
2021-07-13 22:00:00,10.9,82.9,30.5
2021-07-13 23:00:00,10.1,85.8,30.1
2021-07-14 00:00:00,53.91,88.2,29.8
2021-07-14 01:00:00,14.4,89.6,29.6
2021-07-14 02:00:00,19.3,92.2,29.2
2021-07-14 03:00:00,13.8,93.8,28.9
2021-07-14 04:00:00,12.1,94.7,28.8
2021-07-14 05:00:00,9.2,96.2,28.6
2021-07-14 06:00:00,10.9,96.7,28.5
2021-07-14 07:00:00,71.56,91.4,29.5
2021-07-14 08:00:00,15.6,82.3,31.4
2021-07-14 09:00:00,12.9,73.5,33.0
2021-07-14 10:00:00,18.5,69.4,33.6
2021-07-14 11:00:00,37.16,67.9,34.2
2021-07-14 12:00:00,20.0,63.7,35.1
2021-07-14 13:00:00,17.3,60.6,36.0
2021-07-14 14:00:00,14.0,61.9,35.6
2021-07-14 15:00:00,10.2,61.0,35.8
2021-07-14 16:00:00,8.7,62.1,35.6
2021-07-14 17:00:00,10.6,66.8,34.5
2021-07-14 18:00:00,13.1,69.1,33.9
2021-07-14 19:00:00,12.1,76.5,32.5
2021-07-14 20:00:00,12.9,78.8,31.5
2021-07-14 21:00:00,8.8,81.1,30.9
2021-07-14 22:00:00,10.3,84.2,30.4
2021-07-14 23:00:00,13.6,85.6,30.2
2021-07-15 00:00:00,14.6,88.2,29.7
2021-07-15 01:00:00,12.3,90.0,29.5
2021-07-15 02:00:00,15.8,91.2,29.3
2021-07-15 03:00:00,19.3,92.7,29.0
2021-07-15 04:00:00,15.8,93.9,28.8
2021-07-15 05:00:00,12.1,94.5,28.9
2021-07-15 06:00:00,17.7,95.9,28.8
2021-07-15 07:00:00,17.8,92.6,29.6
2021-07-15 08:00:00,42.11,83.2,31.5
