time,PM2.5,humidity,temperature
2021-07-13 18:00:00,13.4,68.8,33.3
2021-07-13 19:00:00,12.7,70.1,32.8
2021-07-13 20:00:00,12.9,72.3,31.8
2021-07-13 21:00:00,11.0,74.6,31.1
2021-07-13 22:00:00,10.0,77.3,30.6
2021-07-13 23:00:00,9.2,80.6,30.3
2021-07-14 00:00:00,8.2,82.3,30.1
2021-07-14 01:00:00,8.8,83.0,30.0
2021-07-14 02:00:00,9.1,83.7,29.8
2021-07-14 03:00:00,8.0,83.8,29.6
2021-07-14 04:00:00,7.9,83.0,29.6
2021-07-14 05:00:00,9.0,83.5,29.4
2021-07-14 06:00:00,8.8,84.7,29.2
2021-07-14 07:00:00,11.8,83.4,29.7
2021-07-14 08:00:00,13.7,76.8,31.0
2021-07-14 09:00:00,14.2,71.6,32.1
2021-07-14 10:00:00,11.7,66.2,33.0
2021-07-14 11:00:00,10.7,60.7,34.1
2021-07-14 12:00:00,12.7,61.2,34.4
2021-07-14 13:00:00,12.9,58.1,35.3
2021-07-14 14:00:00,12.4,57.3,35.5
2021-07-14 15:00:00,7.9,57.3,35.5
2021-07-14 16:00:00,7.2,57.7,35.5
2021-07-14 17:00:00,7.5,57.4,35.6
2021-07-14 18:00:00,15.5,62.1,34.1
2021-07-14 19:00:00,9.3,68.7,32.9
2021-07-14 20:00:00,9.1,72.1,31.9
2021-07-14 21:00:00,10.9,74.4,31.4
2021-07-14 22:00:00,7.7,77.6,30.6
2021-07-14 23:00:00,5.0,79.2,30.5
2021-07-15 00:00:00,6.9,81.5,30.3
2021-07-15 01:00:00,7.9,82.6,30.0
2021-07-15 02:00:00,8.0,83.9,29.8
2021-07-15 03:00:00,8.5,83.1,29.7
2021-07-15 04:00:00,7.1,82.2,29.8
2021-07-15 05:00:00,7.5,83.6,29.6
2021-07-15 06:00:00,8.2,84.3,29.5
2021-07-15 07:00:00,7.4,83.0,29.8
2021-07-15 08:00:00,6.0,77.6,30.8
2021-07-15 09:00:00,5.9,68.4,32.5
2021-07-15 10:00:00,5.3,64.2,33.4
2021-07-15 11:00:00,4.9,61.8,33.8
2021-07-15 12:00:00,4.8,57.2,34.8
2021-07-15 13:00:00,7.4,56.7,35.4
2021-07-15 14:00:00,8.3,57.6,35.3
2021-07-15 15:00:00,6.8,55.9,35.2
2021-07-15 16:00:00,6.4,54.8,35.2
2021-07-15 17:00:00,6.4,54.4,35.6
2021-07-15 18:00:00,6.5,58.3,34.1
2021-07-15 19:00:00,8.7,60.7,33.4
2021-07-15 20:00:00,12.3,65.6,32.6
2021-07-15 21:00:00,12.5,71.6,31.5
2021-07-15 22:00:00,8.1,76.4,30.9
2021-07-15 23:00:00,7.0,79.3,30.4
2021-07-16 00:00:00,8.3,81.1,30.2
2021-07-16 01:00:00,9.5,82.9,30.0
2021-07-16 02:00:00,8.5,82.7,30.0
2021-07-16 03:00:00,6.5,82.6,29.8
2021-07-16 04:00:00,5.7,83.0,29.6
2021-07-16 05:00:00,5.8,84.6,29.3
2021-07-16 06:00:00,6.0,84.8,29.2
2021-07-16 07:00:00,6.6,80.8,30.1
2021-07-16 08:00:00,7.0,75.7,31.2
2021-07-16 09:00:00,9.7,71.9,32.1
